Vivado Simulator 2019.1
Time resolution is 1 ps
Time = 0 | clk = 0 | rst = 1 | Q = xx0
Time = 5000 | clk = 1 | rst = 1 | Q = xx0
Time = 10000 | clk = 0 | rst = 1 | Q = xx0
Time = 12000 | clk = 0 | rst = 0 | Q = xx0
Time = 15000 | clk = 1 | rst = 0 | Q = xx0
Time = 20000 | clk = 0 | rst = 0 | Q = xx1
Time = 25000 | clk = 1 | rst = 0 | Q = xx1
Time = 30000 | clk = 0 | rst = 0 | Q = xx0
Time = 35000 | clk = 1 | rst = 0 | Q = xx0
Time = 40000 | clk = 0 | rst = 0 | Q = xx1
Time = 45000 | clk = 1 | rst = 0 | Q = xx1
Time = 50000 | clk = 0 | rst = 0 | Q = xx0
Time = 55000 | clk = 1 | rst = 0 | Q = xx0
Time = 60000 | clk = 0 | rst = 0 | Q = xx1
Time = 65000 | clk = 1 | rst = 0 | Q = xx1
Time = 70000 | clk = 0 | rst = 0 | Q = xx0
Time = 75000 | clk = 1 | rst = 0 | Q = xx0
Time = 80000 | clk = 0 | rst = 0 | Q = xx1
Time = 85000 | clk = 1 | rst = 0 | Q = xx1
Time = 90000 | clk = 0 | rst = 0 | Q = xx0
Time = 95000 | clk = 1 | rst = 0 | Q = xx0
Time = 100000 | clk = 0 | rst = 0 | Q = xx1
Time = 105000 | clk = 1 | rst = 0 | Q = xx1
Time = 110000 | clk = 0 | rst = 0 | Q = xx0
Time = 115000 | clk = 1 | rst = 0 | Q = xx0
Time = 120000 | clk = 0 | rst = 0 | Q = xx1
Time = 125000 | clk = 1 | rst = 0 | Q = xx1
Time = 130000 | clk = 0 | rst = 0 | Q = xx0
Time = 135000 | clk = 1 | rst = 0 | Q = xx0
Time = 140000 | clk = 0 | rst = 0 | Q = xx1
Time = 145000 | clk = 1 | rst = 0 | Q = xx1
Time = 150000 | clk = 0 | rst = 0 | Q = xx0
Time = 155000 | clk = 1 | rst = 0 | Q = xx0
Time = 160000 | clk = 0 | rst = 0 | Q = xx1
Time = 165000 | clk = 1 | rst = 0 | Q = xx1
Time = 170000 | clk = 0 | rst = 0 | Q = xx0
Time = 175000 | clk = 1 | rst = 0 | Q = xx0
Time = 180000 | clk = 0 | rst = 0 | Q = xx1
Time = 185000 | clk = 1 | rst = 0 | Q = xx1
Time = 190000 | clk = 0 | rst = 0 | Q = xx0
Time = 195000 | clk = 1 | rst = 0 | Q = xx0
Time = 200000 | clk = 0 | rst = 0 | Q = xx1
Time = 205000 | clk = 1 | rst = 0 | Q = xx1
Time = 210000 | clk = 0 | rst = 0 | Q = xx0
Time = 212000 | clk = 0 | rst = 1 | Q = xx0
Time = 215000 | clk = 1 | rst = 1 | Q = xx0
Time = 220000 | clk = 0 | rst = 1 | Q = xx0
Time = 222000 | clk = 0 | rst = 0 | Q = xx0
Time = 225000 | clk = 1 | rst = 0 | Q = xx0
Time = 230000 | clk = 0 | rst = 0 | Q = xx1
Time = 235000 | clk = 1 | rst = 0 | Q = xx1
Time = 240000 | clk = 0 | rst = 0 | Q = xx0
Time = 245000 | clk = 1 | rst = 0 | Q = xx0
Time = 250000 | clk = 0 | rst = 0 | Q = xx1
Time = 255000 | clk = 1 | rst = 0 | Q = xx1
Time = 260000 | clk = 0 | rst = 0 | Q = xx0
Time = 265000 | clk = 1 | rst = 0 | Q = xx0
Time = 270000 | clk = 0 | rst = 0 | Q = xx1
Time = 275000 | clk = 1 | rst = 0 | Q = xx1
Time = 280000 | clk = 0 | rst = 0 | Q = xx0
Time = 285000 | clk = 1 | rst = 0 | Q = xx0
Time = 290000 | clk = 0 | rst = 0 | Q = xx1
Time = 295000 | clk = 1 | rst = 0 | Q = xx1
Time = 300000 | clk = 0 | rst = 0 | Q = xx0
Time = 305000 | clk = 1 | rst = 0 | Q = xx0
Time = 310000 | clk = 0 | rst = 0 | Q = xx1
Time = 315000 | clk = 1 | rst = 0 | Q = xx1
Time = 320000 | clk = 0 | rst = 0 | Q = xx0
$finish called at time : 322 ns : File "F:/Sillycon/Code/RTL/Asynchronous 3 bit counter/asyn_tb.v" Line 28
