Vivado Simulator 2019.1
Time resolution is 1 ps
Time = 0 | clk = 0 | rst = 1 | Q = 111
Time = 5000 | clk = 1 | rst = 1 | Q = 111
Time = 10000 | clk = 0 | rst = 1 | Q = 111
Time = 12000 | clk = 0 | rst = 0 | Q = 111
Time = 15000 | clk = 1 | rst = 0 | Q = 111
Time = 20000 | clk = 0 | rst = 0 | Q = 110
Time = 25000 | clk = 1 | rst = 0 | Q = 110
Time = 30000 | clk = 0 | rst = 0 | Q = 101
Time = 35000 | clk = 1 | rst = 0 | Q = 101
Time = 40000 | clk = 0 | rst = 0 | Q = 100
Time = 45000 | clk = 1 | rst = 0 | Q = 100
Time = 50000 | clk = 0 | rst = 0 | Q = 011
Time = 55000 | clk = 1 | rst = 0 | Q = 011
Time = 60000 | clk = 0 | rst = 0 | Q = 010
Time = 65000 | clk = 1 | rst = 0 | Q = 010
Time = 70000 | clk = 0 | rst = 0 | Q = 001
Time = 75000 | clk = 1 | rst = 0 | Q = 001
Time = 80000 | clk = 0 | rst = 0 | Q = 000
Time = 85000 | clk = 1 | rst = 0 | Q = 000
Time = 90000 | clk = 0 | rst = 0 | Q = 111
Time = 95000 | clk = 1 | rst = 0 | Q = 111
Time = 100000 | clk = 0 | rst = 0 | Q = 110
Time = 105000 | clk = 1 | rst = 0 | Q = 110
Time = 110000 | clk = 0 | rst = 0 | Q = 101
Time = 115000 | clk = 1 | rst = 0 | Q = 101
Time = 120000 | clk = 0 | rst = 0 | Q = 100
Time = 125000 | clk = 1 | rst = 0 | Q = 100
Time = 130000 | clk = 0 | rst = 0 | Q = 011
Time = 135000 | clk = 1 | rst = 0 | Q = 011
Time = 140000 | clk = 0 | rst = 0 | Q = 010
Time = 145000 | clk = 1 | rst = 0 | Q = 010
Time = 150000 | clk = 0 | rst = 0 | Q = 001
Time = 155000 | clk = 1 | rst = 0 | Q = 001
Time = 160000 | clk = 0 | rst = 0 | Q = 000
Time = 165000 | clk = 1 | rst = 0 | Q = 000
Time = 170000 | clk = 0 | rst = 0 | Q = 111
Time = 175000 | clk = 1 | rst = 0 | Q = 111
Time = 180000 | clk = 0 | rst = 0 | Q = 110
Time = 185000 | clk = 1 | rst = 0 | Q = 110
Time = 190000 | clk = 0 | rst = 0 | Q = 101
Time = 195000 | clk = 1 | rst = 0 | Q = 101
Time = 200000 | clk = 0 | rst = 0 | Q = 100
Time = 205000 | clk = 1 | rst = 0 | Q = 100
Time = 210000 | clk = 0 | rst = 0 | Q = 011
Time = 212000 | clk = 0 | rst = 1 | Q = 011
Time = 215000 | clk = 1 | rst = 1 | Q = 011
Time = 220000 | clk = 0 | rst = 1 | Q = 011
Time = 222000 | clk = 0 | rst = 0 | Q = 011
Time = 225000 | clk = 1 | rst = 0 | Q = 011
Time = 230000 | clk = 0 | rst = 0 | Q = 010
Time = 235000 | clk = 1 | rst = 0 | Q = 010
Time = 240000 | clk = 0 | rst = 0 | Q = 001
Time = 245000 | clk = 1 | rst = 0 | Q = 001
Time = 250000 | clk = 0 | rst = 0 | Q = 000
Time = 255000 | clk = 1 | rst = 0 | Q = 000
Time = 260000 | clk = 0 | rst = 0 | Q = 111
Time = 265000 | clk = 1 | rst = 0 | Q = 111
Time = 270000 | clk = 0 | rst = 0 | Q = 110
Time = 275000 | clk = 1 | rst = 0 | Q = 110
Time = 280000 | clk = 0 | rst = 0 | Q = 101
Time = 285000 | clk = 1 | rst = 0 | Q = 101
Time = 290000 | clk = 0 | rst = 0 | Q = 100
Time = 295000 | clk = 1 | rst = 0 | Q = 100
Time = 300000 | clk = 0 | rst = 0 | Q = 011
Time = 305000 | clk = 1 | rst = 0 | Q = 011
Time = 310000 | clk = 0 | rst = 0 | Q = 010
Time = 315000 | clk = 1 | rst = 0 | Q = 010
Time = 320000 | clk = 0 | rst = 0 | Q = 001
$finish called at time : 322 ns : File "F:/Sillycon/Code/RTL/Asynchronous 3 bit counter/asyn_tb.v" Line 28
